doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2023.111017,Metastable pitting corrosion behavior and characteristics of passive film of laser powder bed fusion produced Ti–6Al–4V in NaCl solutions with different concentrations,2023,199,True,article
https://doi.org/10.1016/j.corsci.2023.111112,On the use of the Langmuir and other adsorption isotherms in corrosion inhibition,2023,164,True,article
https://doi.org/10.1016/j.corsci.2023.111025,Experimental comparison of gaseous and electrochemical hydrogen charging in X65 pipeline steel using the permeation technique,2023,118,True,article
https://doi.org/10.1016/j.corsci.2023.111296,Synergistic inhibition effect of Mikania micrantha extract with potassium iodide on the corrosion of cold rolled steel in methanesulfonic acid solution,2023,104,True,article
https://doi.org/10.1016/j.corsci.2023.111591,Study on the oxidation behavior of a novel thermal barrier coating system using the nanocrystalline coating as bonding coating on the single-crystal superalloy,2023,100,True,article
https://doi.org/10.1016/j.corsci.2024.112636,Printed cellular structure enhancing re-passivation of stress corrosion cracking in high-temperature water,2024,61,True,article
https://doi.org/10.1016/j.corsci.2023.111764,Effect of microstructure on hydrogen embrittlement and hydrogen-induced cracking behaviour of a high-strength pipeline steel weldment,2023,59,True,article
https://doi.org/10.1016/j.corsci.2023.111453,New insights into hydrogen trapping and embrittlement in high strength aluminum alloys,2023,57,True,article
https://doi.org/10.1016/j.corsci.2025.112971,Mutual FCC-BCC phase transition driving surface homogenization in a novel core-shell medium-entropy alloy after exposure to supercritical water,2025,56,True,article
https://doi.org/10.1016/j.corsci.2023.111361,Effects of heat treatments on the microstructure and localized corrosion behaviors of AA7075 aluminum alloy,2023,53,True,article
https://doi.org/10.1016/j.corsci.2024.112399,Improved mechanical and corrosion properties through high-pressure phase transition in a biodegradable Zn-1.5Mn alloy,2024,52,True,article
https://doi.org/10.1016/j.corsci.2025.112974,Integrated effects of non-equilibrium microstructures on stress corrosion cracking susceptibility of post-treated laser powder-bed-fusion 316 L stainless steels,2025,52,True,article
https://doi.org/10.1016/j.corsci.2024.111988,Influence of Severe Surface Plastic Deformation Induced by Shot Peening on Microstructure and Corrosion Resistance of fine grained 316 L stainless steel,2024,51,True,article
https://doi.org/10.1016/j.corsci.2023.111372,Dislocation-assisted localised pitting corrosion behaviour of Al Si Mg Cu Mn alloy,2023,49,True,article
https://doi.org/10.1016/j.corsci.2024.111889,Corrosion protection of zinc by LDH conversion coatings,2024,46,True,article
https://doi.org/10.1016/j.corsci.2023.111570,Mitigation effects of over-aging (T73) induced intergranular corrosion on stress corrosion cracking of AA7075 aluminum alloy and behaviors of η phase grain boundary precipitates during the intergranular corrosion formation,2023,45,True,article
https://doi.org/10.1016/j.corsci.2023.110965,Electrochemical corrosion and electrochemical migration characteristics of SAC-1Bi-xMn solder alloys in NaCl solution,2023,42,True,article
https://doi.org/10.1016/j.corsci.2024.112066,A comparative study on the passive film and SCC behavior of Ti-6Al-3Nb-2Zr-1Mo alloy at various test temperatures in simulated seawater,2024,42,True,article
https://doi.org/10.1016/j.corsci.2023.111125,Extracellular electron transfer corrosion mechanism of two marine structural steels caused by nitrate reducing Halomonas titanicae,2023,41,True,article
https://doi.org/10.1016/j.corsci.2023.111809,Electrochemical corrosion behaviour and corrosion mechanism of Sn-9Zn-xGe solder alloys in NaCl solution,2023,41,True,article
https://doi.org/10.1016/j.corsci.2024.111846,Perspectives on the unusual electrochemical corrosion of Nickel Aluminum Bronze (NAB) alloy fabricated through laser-powder bed fusion additive manufacturing,2024,40,True,article
https://doi.org/10.1016/j.corsci.2023.111271,Corrosion resistance of β-phase titanium alloys under simulated inflammatory conditions: Exploring the relevance of biocompatible alloying elements,2023,37,True,article
https://doi.org/10.1016/j.corsci.2024.111939,Study of temperature effect on hydrogen embrittlement in X70 pipeline steel,2024,36,True,article
https://doi.org/10.1016/j.corsci.2023.111030,Study on the roles of bisulfite in the stress corrosion cracking of 7050-T7451 aluminum alloy in the thin electrolyte layer environment,2023,35,True,article
