doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2015.01.037,Density functional theory (DFT) as a powerful tool for designing new organic corrosion inhibitors. Part 1: An overview,2015,1273,False,article
https://doi.org/10.1016/j.corsci.2017.02.019,Corrosion of Al CoCrFeNi high-entropy alloys: Al-content and potential scan-rate dependent pitting behavior,2017,859,True,article
https://doi.org/10.1016/j.corsci.2015.11.033,Enhancement of barrier and corrosion protection performance of an epoxy coating through wet transfer of amino functionalized graphene oxide,2015,810,False,article
https://doi.org/10.1016/j.corsci.2018.02.031,Corrosion behavior of an equiatomic CoCrFeMnNi high-entropy alloy compared with 304 stainless steel in sulfuric acid solution,2018,775,False,article
https://doi.org/10.1016/j.corsci.2018.01.008,Evaluation of Ginkgo leaf extract as an eco-friendly corrosion inhibitor of X70 steel in HCl solution,2018,760,False,article
https://doi.org/10.1016/j.corsci.2017.02.021,Experimental and theoretical studies of four allyl imidazolium-based ionic liquids as green inhibitors for copper corrosion in sulfuric acid,2017,606,False,article
https://doi.org/10.1016/j.corsci.2016.11.008,Exploring corrosion protection properties of solvent based epoxy-graphene oxide nanocomposite coatings on mild steel,2016,585,False,article
https://doi.org/10.1016/j.corsci.2015.10.041,Corrosion behavior of selective laser melted Ti-6Al-4 V alloy in NaCl solution,2015,558,True,article
https://doi.org/10.1016/j.corsci.2018.01.030,Homogenization of Al CoCrFeNi high-entropy alloys with improved corrosion resistance,2018,470,True,article
https://doi.org/10.1016/j.corsci.2016.06.009,Distinction in corrosion resistance of selective laser melted Ti-6Al-4V alloy on different planes,2016,449,True,article
https://doi.org/10.1016/j.corsci.2016.05.041,Corrosion and passivation of magnesium alloys,2016,447,False,article
https://doi.org/10.1016/j.corsci.2015.01.025,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,436,False,article
https://doi.org/10.1016/j.corsci.2017.01.025,Corrosion resistance of a self-healing micro-arc oxidation/polymethyltrimethoxysilane composite coating on magnesium alloy AZ31,2017,427,False,article
https://doi.org/10.1016/j.corsci.2016.11.002,"Enhanced corrosion resistance of mild steel in 1M HCl solution by trace amount of 2-phenyl-benzothiazole derivatives: Experimental, quantum chemical calculations and molecular dynamics (MD) simulation studies",2016,411,False,article
https://doi.org/10.1016/j.corsci.2017.01.016,Influence of temperature on the electrochemical and passivation behavior of 2507 super duplex stainless steel in simulated desulfurized flue gas condensates,2017,409,False,article
https://doi.org/10.1016/j.corsci.2017.07.012,Three indazole derivatives as corrosion inhibitors of copper in a neutral chloride solution,2017,388,False,article
https://doi.org/10.1016/j.corsci.2015.11.003,Comparison of the corrosion behavior of pure titanium and its alloys in fluoride-containing sulfuric acid,2015,383,False,article
https://doi.org/10.1016/j.corsci.2018.05.010,Active corrosion protection by a smart coating based on a MgAl-layered double hydroxide on a cerium-modified plasma electrolytic oxidation coating on Mg alloy AZ31,2018,381,False,article
https://doi.org/10.1016/j.corsci.2019.02.002,Passivation behavior and surface chemistry of 2507 super duplex stainless steel in artificial seawater: Influence of dissolved oxygen and pH,2019,375,False,article
https://doi.org/10.1016/j.corsci.2020.108537,High temperature steam oxidation of chromium-coated zirconium-based alloys: Kinetics and process,2020,374,True,article
https://doi.org/10.1016/j.corsci.2018.10.002,"Effect of stereochemical conformation into the corrosion inhibitive behaviour of double azomethine based Schiff bases on mild steel surface in 1 mol L−1 HCl medium: An experimental, density functional theory and molecular dynamics simulation study",2018,370,False,article
https://doi.org/10.1016/j.corsci.2016.04.004,Enhancement of the corrosion protection performance and cathodic delamination resistance of epoxy coating through treatment of steel substrate by a novel nanometric sol-gel based silane composite film filled with functionalized graphene oxide nanosheets,2016,361,False,article
https://doi.org/10.1016/j.corsci.2018.03.038,Polyaniline-cerium oxide (PAni-CeO 2 ) coated graphene oxide for enhancement of epoxy coating corrosion protection performance on mild steel,2018,356,False,article
https://doi.org/10.1016/j.corsci.2020.108641,Microbially influenced corrosion—Any progress?,2020,353,True,article
https://doi.org/10.1016/j.corsci.2015.03.012,Experimental and theoretical studies of two imidazolium-based ionic liquids as inhibitors for mild steel in sulfuric acid solution,2015,349,False,article
https://doi.org/10.1016/j.corsci.2019.108315,Corrosion resistant nanostructured eutectic high entropy alloy,2019,339,True,article
https://doi.org/10.1016/j.corsci.2017.10.023,Effects of biogenic H2S on the microbiologically influenced corrosion of C1018 carbon steel by sulfate reducing Desulfovibrio vulgaris biofilm,2017,333,False,article
https://doi.org/10.1016/j.corsci.2021.109939,Corrosion inhibitors: physisorbed or chemisorbed?,2021,331,True,article
https://doi.org/10.1016/j.corsci.2019.108419,Influence of specific second phases on corrosion behaviors of Mg-Zn-Gd-Zr alloys,2019,310,False,article
https://doi.org/10.1016/j.corsci.2018.04.002,Effect of sustained load and seawater and sea sand concrete environment on durability of basalt- and glass-fibre reinforced polymer (B/GFRP) bars,2018,309,True,article
https://doi.org/10.1016/j.corsci.2015.08.023,Corrosion behavior of carbon steel in the presence of sulfate reducing bacteria and iron oxidizing bacteria cultured in oilfield produced water,2015,307,False,article
https://doi.org/10.1016/j.corsci.2019.108287,Influence of carbon on the corrosion behaviour of interstitial equiatomic CoCrFeMnNi high-entropy alloys in a chlorinated concrete solution,2019,307,False,article
https://doi.org/10.1016/j.corsci.2017.10.001,"Effect of inclusions modified by rare earth elements (Ce, La) on localized marine corrosion in Q460NH weathering steel",2017,306,False,article
